X,Y
1.4271057014378812,1.0104576421154425
1.2836466373546078,2.0160350717622113
1.0287321104426492,2.306311097105203
0.8587430651657151,2.4133959446456985
0.47003578562414455,2.5606414922248915
0.1378233115691839,2.5706775959499955
-0.06834255948257698,2.508346836081033
-0.38493328199733906,2.2422184511408454
-0.4876787805962156,1.9545842293706281
-0.49173804439356644,1.75207714780758
-0.4707877365582805,1.3434530334228543
-0.4314987391198367,1.0307224482337272
-0.3961857006817159,0.821922325430451
-0.39879931590811996,0.40351978497804225
-0.4277152406842144,0.06527097551252081
-0.4444455519509362,-0.14291745186676047
-0.5022748805383545,-0.5820649311880807
-0.5447698821647727,-0.9303895089476951
-0.6044024095406597,-1.1340697712106873
-0.7099958162453913,-1.5926592919952347
-0.5729474117820285,-2.067073815581316
-0.4497486535311793,-2.251675475233795
-0.39180739310314755,-2.316928822360764
-0.38254071234814296,-2.325409793068056
-0.30149510019744025,-2.3908941227217198
-0.12846124963568967,-2.4719040018098775
0.003132219750698888,-2.494881502511332
0.27052015788562284,-2.4791191431867
0.46097715988800303,-2.4442401098048205
0.6612364156873108,-2.3978808849024342
0.9515275927801571,-2.23343117120979
1.1213871615570192,-2.0631876399797724
1.233054200048993,-1.9294646304433383
1.40245802649701,-1.6107165858966763
1.4309823070225836,-1.3312353395389966
1.4769981363571933,-1.138356150200436
1.4728388260546097,-0.7529831442893525
1.474110932570646,-0.4528523748852587
1.5118766845328573,-0.2568611605822921
1.5529272244768721,0.15177374082178216
1.5335284568342546,0.4747294880895093
1.5053613012760358,0.6822266986052858
1.4271057014378812,1.0104576421154425
